Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,計,安,失
日本ハム,0,0,0,0,0,1,0,1,0,0,0,3,5,14,2
広島,0,1,0,0,0,0,0,0,1,0,0,0,2,11,0
