Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,計,安,失
巨人,0,0,0,1,0,0,0,0,0,0,0,1,4,0
DeNA,0,0,0,0,0,0,0,1,0,0,1X,2,11,0
