Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,計,安,失
オリックス,0,0,0,2,0,1,0,0,0,0,2,5,13,2
西武,0,0,1,2,0,0,0,0,0,0,1,4,14,0
