Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,計,安,失
日本ハム,0,0,0,0,0,0,0,2,0,0,1,3,8,1
西武,0,1,0,0,0,1,0,0,0,0,0,2,9,2
