Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,計,安,失
ソフトバンク,0,0,0,1,0,0,1,0,0,0,0,2,4,8,0
DeNA,0,0,2,0,0,0,0,0,0,0,0,0,2,10,0
