Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,計,安,失
ロッテ,0,0,0,0,0,0,0,0,0,0,0,0,5,2
楽天,0,0,0,0,0,0,0,0,0,0,1X,1,8,0
