Unnamed: 0,1,2,3,4,5,6,7,8,9,10,計,安,失
ソフトバンク,0,1,0,0,0,1,0,0,0,0,2,7,0
オリックス,0,0,0,1,0,0,0,1,0,1X,3,12,0
