Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,計,安,失
ロッテ,0,0,0,0,1,0,0,0,1,0,0,0,2,7,0
巨人,0,1,0,0,0,0,1,0,0,0,0,0,2,8,0
