Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,計,安,失
中日,2,0,0,0,0,1,0,1,0,0,2,6,13,1
DeNA,0,0,2,0,0,0,0,2,0,0,0,4,9,1
